n_mfcc;delta_mode;norm_mode;n_components;covariance_type;n_mels;accuracy
2;1;1;2;full;2;0,481818182
2;1;1;2;full;4;0,545454545
2;1;1;2;full;6;0,581818182
2;1;1;2;full;8;0,577272727
2;1;1;2;full;10;0,563636364
2;1;1;2;full;12;0,595454545
2;1;1;2;full;14;0,572727273
2;1;1;2;full;16;0,577272727
2;1;1;2;full;18;0,572727273
2;1;1;2;full;20;0,563636364
2;1;1;2;diag;2;0,481818182
2;1;1;2;diag;4;0,545454545
2;1;1;2;diag;6;0,581818182
2;1;1;2;diag;8;0,577272727
2;1;1;2;diag;10;0,563636364
2;1;1;2;diag;12;0,595454545
2;1;1;2;diag;14;0,572727273
2;1;1;2;diag;16;0,577272727
2;1;1;2;diag;18;0,572727273
2;1;1;2;diag;20;0,563636364
2;1;1;4;full;2;0,495454545
2;1;1;4;full;4;0,5
2;1;1;4;full;6;0,531818182
2;1;1;4;full;8;0,55
2;1;1;4;full;10;0,545454545
2;1;1;4;full;12;0,554545455
2;1;1;4;full;14;0,536363636
2;1;1;4;full;16;0,540909091
2;1;1;4;full;18;0,540909091
2;1;1;4;full;20;0,540909091
2;1;1;4;diag;2;0,495454545
2;1;1;4;diag;4;0,5
2;1;1;4;diag;6;0,531818182
2;1;1;4;diag;8;0,55
2;1;1;4;diag;10;0,545454545
2;1;1;4;diag;12;0,554545455
2;1;1;4;diag;14;0,536363636
2;1;1;4;diag;16;0,540909091
2;1;1;4;diag;18;0,540909091
2;1;1;4;diag;20;0,540909091
2;1;1;8;full;2;0,504545455
2;1;1;8;full;4;0,495454545
2;1;1;8;full;6;0,527272727
2;1;1;8;full;8;0,559090909
2;1;1;8;full;10;0,563636364
2;1;1;8;full;12;0,55
2;1;1;8;full;14;0,545454545
2;1;1;8;full;16;0,536363636
2;1;1;8;full;18;0,577272727
2;1;1;8;full;20;0,563636364
2;1;1;8;diag;2;0,504545455
2;1;1;8;diag;4;0,495454545
2;1;1;8;diag;6;0,527272727
2;1;1;8;diag;8;0,559090909
2;1;1;8;diag;10;0,563636364
2;1;1;8;diag;12;0,55
2;1;1;8;diag;14;0,545454545
2;1;1;8;diag;16;0,536363636
2;1;1;8;diag;18;0,577272727
2;1;1;8;diag;20;0,563636364
2;1;1;10;full;2;0,509090909
2;1;1;10;full;4;0,504545455
2;1;1;10;full;6;0,540909091
2;1;1;10;full;8;0,559090909
2;1;1;10;full;10;0,581818182
2;1;1;10;full;12;0,55
2;1;1;10;full;14;0,540909091
2;1;1;10;full;16;0,545454545
2;1;1;10;full;18;0,568181818
2;1;1;10;full;20;0,563636364
2;1;1;10;diag;2;0,509090909
2;1;1;10;diag;4;0,504545455
2;1;1;10;diag;6;0,540909091
2;1;1;10;diag;8;0,559090909
2;1;1;10;diag;10;0,581818182
2;1;1;10;diag;12;0,55
2;1;1;10;diag;14;0,540909091
2;1;1;10;diag;16;0,545454545
2;1;1;10;diag;18;0,568181818
2;1;1;10;diag;20;0,563636364
2;1;1;12;full;2;0,518181818
2;1;1;12;full;4;0,495454545
2;1;1;12;full;6;0,522727273
2;1;1;12;full;8;0,563636364
2;1;1;12;full;10;0,55
2;1;1;12;full;12;0,536363636
2;1;1;12;full;14;0,545454545
2;1;1;12;full;16;0,55
2;1;1;12;full;18;0,568181818
2;1;1;12;full;20;0,545454545
2;1;1;12;diag;2;0,518181818
2;1;1;12;diag;4;0,495454545
2;1;1;12;diag;6;0,522727273
2;1;1;12;diag;8;0,563636364
2;1;1;12;diag;10;0,55
2;1;1;12;diag;12;0,536363636
2;1;1;12;diag;14;0,545454545
2;1;1;12;diag;16;0,55
2;1;1;12;diag;18;0,568181818
2;1;1;12;diag;20;0,545454545
2;1;1;14;full;2;0,495454545
2;1;1;14;full;4;0,5
2;1;1;14;full;6;0,55
2;1;1;14;full;8;0,55
2;1;1;14;full;10;0,55
2;1;1;14;full;12;0,518181818
2;1;1;14;full;14;0,55
2;1;1;14;full;16;0,527272727
2;1;1;14;full;18;0,540909091
2;1;1;14;full;20;0,540909091
2;1;1;14;diag;2;0,495454545
2;1;1;14;diag;4;0,5
2;1;1;14;diag;6;0,55
2;1;1;14;diag;8;0,55
2;1;1;14;diag;10;0,55
2;1;1;14;diag;12;0,518181818
2;1;1;14;diag;14;0,55
2;1;1;14;diag;16;0,527272727
2;1;1;14;diag;18;0,540909091
2;1;1;14;diag;20;0,540909091
2;1;1;16;full;2;0,490909091
2;1;1;16;full;4;0,463636364
2;1;1;16;full;6;0,540909091
2;1;1;16;full;8;0,568181818
2;1;1;16;full;10;0,540909091
2;1;1;16;full;12;0,531818182
2;1;1;16;full;14;0,531818182
2;1;1;16;full;16;0,518181818
2;1;1;16;full;18;0,531818182
2;1;1;16;full;20;0,522727273
2;1;1;16;diag;2;0,490909091
2;1;1;16;diag;4;0,463636364
2;1;1;16;diag;6;0,540909091
2;1;1;16;diag;8;0,563636364
2;1;1;16;diag;10;0,540909091
2;1;1;16;diag;12;0,531818182
2;1;1;16;diag;14;0,531818182
2;1;1;16;diag;16;0,518181818
2;1;1;16;diag;18;0,531818182
2;1;1;16;diag;20;0,522727273
2;1;1;18;full;2;0,486363636
2;1;1;18;full;4;0,513636364
2;1;1;18;full;6;0,540909091
2;1;1;18;full;8;0,55
2;1;1;18;full;10;0,540909091
2;1;1;18;full;12;0,540909091
2;1;1;18;full;14;0,513636364
2;1;1;18;full;16;0,513636364
2;1;1;18;full;18;0,522727273
2;1;1;18;full;20;0,518181818
2;1;1;18;diag;2;0,486363636
2;1;1;18;diag;4;0,513636364
2;1;1;18;diag;6;0,540909091
2;1;1;18;diag;8;0,55
2;1;1;18;diag;10;0,540909091
2;1;1;18;diag;12;0,540909091
2;1;1;18;diag;14;0,513636364
2;1;1;18;diag;16;0,513636364
2;1;1;18;diag;18;0,527272727
2;1;1;18;diag;20;0,518181818
2;1;1;20;full;2;0,468181818
2;1;1;20;full;4;0,518181818
2;1;1;20;full;6;0,527272727
2;1;1;20;full;8;0,545454545
2;1;1;20;full;10;0,554545455
2;1;1;20;full;12;0,527272727
2;1;1;20;full;14;0,527272727
2;1;1;20;full;16;0,509090909
2;1;1;20;full;18;0,531818182
2;1;1;20;full;20;0,518181818
2;1;1;20;diag;2;0,468181818
2;1;1;20;diag;4;0,518181818
2;1;1;20;diag;6;0,527272727
2;1;1;20;diag;8;0,545454545
2;1;1;20;diag;10;0,554545455
2;1;1;20;diag;12;0,527272727
2;1;1;20;diag;14;0,527272727
2;1;1;20;diag;16;0,509090909
2;1;1;20;diag;18;0,527272727
2;1;1;20;diag;20;0,518181818
2;1;2;2;full;2;0,1
2;1;2;2;full;4;0,1
2;1;2;2;full;6;0,1
2;1;2;2;full;8;0,1
2;1;2;2;full;10;0,1
2;1;2;2;full;12;0,1
2;1;2;2;full;14;0,1
2;1;2;2;full;16;0,1
2;1;2;2;full;18;0,1
2;1;2;2;full;20;0,1
2;1;2;2;diag;2;0,1
2;1;2;2;diag;4;0,1
2;1;2;2;diag;6;0,1
2;1;2;2;diag;8;0,1
2;1;2;2;diag;10;0,1
2;1;2;2;diag;12;0,1
2;1;2;2;diag;14;0,1
2;1;2;2;diag;16;0,1
2;1;2;2;diag;18;0,1
2;1;2;2;diag;20;0,1
2;1;2;4;full;2;0,1
2;1;2;4;full;4;0,1
2;1;2;4;full;6;0,1
2;1;2;4;full;8;0,1
2;1;2;4;full;10;0,1
2;1;2;4;full;12;0,1
2;1;2;4;full;14;0,1
2;1;2;4;full;16;0,1
2;1;2;4;full;18;0,1
2;1;2;4;full;20;0,1
2;1;2;4;diag;2;0,1
2;1;2;4;diag;4;0,1
2;1;2;4;diag;6;0,1
2;1;2;4;diag;8;0,1
2;1;2;4;diag;10;0,1
2;1;2;4;diag;12;0,1
2;1;2;4;diag;14;0,1
2;1;2;4;diag;16;0,1
2;1;2;4;diag;18;0,1
2;1;2;4;diag;20;0,1
2;1;2;8;full;2;0,1
2;1;2;8;full;4;0,1
2;1;2;8;full;6;0,1
2;1;2;8;full;8;0,1
2;1;2;8;full;10;0,1
2;1;2;8;full;12;0,1
2;1;2;8;full;14;0,1
2;1;2;8;full;16;0,1
2;1;2;8;full;18;0,1
2;1;2;8;full;20;0,1
2;1;2;8;diag;2;0,1
2;1;2;8;diag;4;0,1
2;1;2;8;diag;6;0,1
2;1;2;8;diag;8;0,1
2;1;2;8;diag;10;0,1
2;1;2;8;diag;12;0,1
2;1;2;8;diag;14;0,1
2;1;2;8;diag;16;0,1
2;1;2;8;diag;18;0,1
2;1;2;8;diag;20;0,1
2;1;2;10;full;2;0,1
2;1;2;10;full;4;0,1
2;1;2;10;full;6;0,1
2;1;2;10;full;8;0,1
2;1;2;10;full;10;0,1
2;1;2;10;full;12;0,1
2;1;2;10;full;14;0,1
2;1;2;10;full;16;0,1
2;1;2;10;full;18;0,1
2;1;2;10;full;20;0,1
2;1;2;10;diag;2;0,1
2;1;2;10;diag;4;0,1
2;1;2;10;diag;6;0,1
2;1;2;10;diag;8;0,1
2;1;2;10;diag;10;0,1
2;1;2;10;diag;12;0,1
2;1;2;10;diag;14;0,1
2;1;2;10;diag;16;0,1
2;1;2;10;diag;18;0,1
2;1;2;10;diag;20;0,1
2;1;2;12;full;2;0,1
2;1;2;12;full;4;0,1
2;1;2;12;full;6;0,1
2;1;2;12;full;8;0,1
2;1;2;12;full;10;0,1
2;1;2;12;full;12;0,1
2;1;2;12;full;14;0,1
2;1;2;12;full;16;0,1
2;1;2;12;full;18;0,1
2;1;2;12;full;20;0,1
2;1;2;12;diag;2;0,1
2;1;2;12;diag;4;0,1
2;1;2;12;diag;6;0,1
2;1;2;12;diag;8;0,1
2;1;2;12;diag;10;0,1
2;1;2;12;diag;12;0,1
2;1;2;12;diag;14;0,1
2;1;2;12;diag;16;0,1
2;1;2;12;diag;18;0,1
2;1;2;12;diag;20;0,1
2;1;2;14;full;2;0,1
2;1;2;14;full;4;0,1
2;1;2;14;full;6;0,1
2;1;2;14;full;8;0,1
2;1;2;14;full;10;0,1
2;1;2;14;full;12;0,1
2;1;2;14;full;14;0,1
2;1;2;14;full;16;0,1
2;1;2;14;full;18;0,1
2;1;2;14;full;20;0,1
2;1;2;14;diag;2;0,1
2;1;2;14;diag;4;0,1
2;1;2;14;diag;6;0,1
2;1;2;14;diag;8;0,1
2;1;2;14;diag;10;0,1
2;1;2;14;diag;12;0,1
2;1;2;14;diag;14;0,1
